collect_date,plot_num,depth_Kobr_core,depth_Geum_core,rock_wt_Kobr,rock_wt_Geum,soil_wt_Kobr,soil_wt_Geum,soil_bulk_dens_Kobr,soil_bulk_dens_Geum,tot_wt_Kobr,tot_wt_Geum,tot_bulk_dens_Kobr,tot_bulk_dens_Geum,SOM_Kobr,SOM_Geum,tot_P_Kobr,tot_P_Geum,tot_N_Kobr,tot_N_Geum,tot_C_Kobr,tot_C_Geum,C:N_ratio_Kobr,C:N_ratio_Geum
1993-07-15,1,20,20,6.355,15.474,79.998,124.777,0.42788,0.66739,86.353,140.251,0.46187,0.75015,0.20068,0.165669,0.124,0.094,0.78996,0.72138,11.65147,8.97063,14.75,12.435
1993-07-15,10,15,14,6.48,0.465,68.846,53.961,0.49098,0.41231,75.326,54.426,0.53719,0.41586,0.27365,0.377393,0.132,0.144,0.8898,1.29516,12.19328,17.99523,13.703,13.894
1993-07-15,11,15,15,0.538,4.447,47.144,64.633,0.33621,0.46093,47.682,69.08,0.34004,0.49264,0.368394,0.219406,0.117,0.199,1.08951,0.92781,15.20831,11.98104,13.959,12.913
1993-07-15,12,20,16,13.175,10.259,72.368,72.444,0.38707,0.48434,85.543,82.703,0.45754,0.55293,0.187887,0.203078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-07-19,13,17,15.5,8.358,19.757,68.777,85.506,0.43278,0.59012,77.135,105.263,0.48537,0.72647,0.208546,0.142418,0.111,0.123,0.73843,0.67587,10.23545,8.95095,13.861,13.244
1993-07-19,14,17,20,36.726,29.428,79.77,122.58,0.50195,0.65563,116.496,152.008,0.73305,0.81303,0.177977,0.164701,0.079,0.141,0.63973,0.60694,8.39897,7.82705,13.129,12.896
1993-07-19,15,17,10,5.725,8.134,82.187,58.539,0.51716,0.62621,87.912,66.673,0.55319,0.71322,0.184859,0.185754,0.096,0.098,0.70847,0.8104,9.77249,10.68988,13.794,13.191
1993-07-22,16,18,18,32.738,64.882,102.934,107.193,0.61173,0.63704,135.672,172.075,0.80629,1.02263,0.105617,0.0949768,0.085,0.126,0.49189,0.4782,6.90485,6.70534,14.037,14.022
1993-07-22,17,20,20,48.042,54.147,106.151,101.275,0.56776,0.54168,154.193,155.422,0.82472,0.83129,0.102161,0.10464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-07-22,18,16,9,19.947,27.79,108.226,67.319,0.72357,0.80014,128.173,95.109,0.85694,1.13045,0.116857,0.0975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
