year,spp_code,plot_num,quad_num,coords,plant_num,jday,plant_ht,leaf_length,leaf_num,inflor_num,bud_num,flower_num,fruit_dev_num,fruit_mat_num
1984,ACOROS,1,2,9-5,1,156,27,27,8,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,1,2,9-5,1,163,32,32,9,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,1,2,9-5,1,170,45,45,9,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,1,2,9-5,1,177,48,48,9,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,1,2,9-5,1,184,48,48,8,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,1,2,9-5,1,191,48,48,8,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,1,2,9-5,1,198,48,48,8,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,1,2,9-5,1,205,48,48,8,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,1,2,9-5,1,212,48,48,8,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,1,2,9-5,1,218,48,48,6,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,1,2,9-5,1,226,48,48,6,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,2,1,5-3,1,156,16,16,2,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,2,1,5-3,1,163,18,18,3,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,2,1,5-3,1,170,22,22,5,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,2,1,5-3,1,177,26,26,6,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,2,1,5-3,1,184,27,27,6,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,2,1,5-3,1,191,30,30,6,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,2,1,5-3,1,198,32,32,6,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,2,1,5-3,1,205,34,34,6,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,2,1,5-3,1,212,34,34,6,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,2,1,5-3,1,218,35,35,6,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,2,1,5-3,1,226,35,35,5,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,2,1,5-3,1,231,35,35,5,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,3,1,9-2,1,170,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,3,1,9-2,1,177,30,30,4,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,3,1,9-2,1,184,63,63,8,1,NaN,NaN,NaN,NaN
1984,ACOROS,3,1,9-2,1,191,95,95,9,2,3,NaN,NaN,NaN
1984,ACOROS,3,1,9-2,1,198,111,106,10,2,2,1,NaN,NaN
1984,ACOROS,3,1,9-2,1,205,138,111,10,2,1,1,1,NaN
1984,ACOROS,3,1,9-2,1,212,144,120,10,2,NaN,NaN,NaN,2
1984,ACOROS,3,1,9-2,1,218,144,120,10,2,NaN,NaN,NaN,2
1984,ACOROS,3,1,9-2,1,226,144,120,10,2,NaN,NaN,NaN,2
1984,ACOROS,3,1,9-2,1,233,144,120,10,2,NaN,NaN,NaN,2
1984,ACOROS,3,1,9-2,1,238,144,120,10,2,NaN,NaN,NaN,2
1984,ACOROS,9,1,1-5,1,205,40,40,3,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,9,1,1-5,1,212,46,46,3,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,9,1,1-5,1,218,46,46,4,NaN,NaN,NaN,NaN,NaN
1984,ACOROS,9,1,1-5,1,226,46,46,4,NaN,NaN,NaN,NaN,NaN
