"date","plot_code","spp_code","USDA_name","num_hits","cover"
"1990-07-03","DCC1","ACOROS","Geum rossii var. turbinatum",3,2.521
"1990-07-03","DCC1","AREFEN","Arenaria fendleri var. tweedyi",2,1.6807
"1990-07-03","DCC1","ARTSCO","Artemisia scopulorum",1,0
"1990-07-03","DCC1","BISBIS","Polygonum bistortoides",1,0.8403
"1990-07-03","DCC1","BISVIV","Polygonum viviparum",1,0.8403
"1990-07-03","DCC1","CALPUR","Calamagrostis purpurascens",5,4.2017
"1990-07-03","DCC1","CARRUP","Carex rupestris var. drummondiana",10,8.4034
"1990-07-03","DCC1","KOBMYO","Kobresia myosuroides",76,63.8655
"1990-07-03","DCC1","OREALP","Oreoxis alpina ssp. alpina",3,2.521
"1990-07-03","DCC1","SAXRHO","Saxifraga rhomboidea",2,1.6807
"1990-07-03","DCC1","SEDLAN","Sedum lanceolatum",1,0
"1990-07-03","DCC1","SELDEN","Selaginella densa var. scopulorum",9,7.563
"1990-07-03","DCC1","BAREEE",NaN,5,4.2017
"1990-07-03","DCC1","CAMROT","Campanula rotundifolia",2,1.6807
"1990-07-09","WCC1","BISBIS","Polygonum bistortoides",5,3.3113
"1990-07-09","WCC1","CARSCO","Carex scopulorum var. scopulorum",103,68.2119
"1990-07-09","WCC1","CLERHO","Rhodiola rhodantha",1,0.6623
"1990-07-09","WCC1","GENALG","Gentiana algida",3,1.9868
"1990-07-09","WCC1","PEDGRO","Pedicularis groenlandica",1,0
"1990-07-09","WCC1","CALLEP","Caltha leptosepala",23,15.2318
"1990-07-09","WCC1","BAREEE",NaN,8,5.298
"1990-07-09","WCC1","BISVIV","Polygonum viviparum",1,0.6623
"1990-07-09","WCC1","JUNTRI","Juncus triglumis",7,4.6358
"1990-07-05","DCC2","ALLGEY","Allium geyeri",3,1.8868
"1990-07-05","DCC2","ACOROS","Geum rossii var. turbinatum",7,4.4025
"1990-07-05","DCC2","AREFEN","Arenaria fendleri var. tweedyi",1,0.6289
"1990-07-05","DCC2","ARTSCO","Artemisia scopulorum",1,0.6289
"1990-07-05","DCC2","BISBIS","Polygonum bistortoides",4,2.5157
"1990-07-05","DCC2","BISVIV","Polygonum viviparum",3,1.8868
"1990-07-05","DCC2","CALPUR","Calamagrostis purpurascens",1,0.6289
"1990-07-05","DCC2","CAMROT","Campanula rotundifolia",1,0.6289
"1990-07-05","DCC2","CARRUP","Carex rupestris var. drummondiana",23,14.4654
"1990-07-05","DCC2","HYMACA","Tetraneuris acaulis var. caespitosa",1,0
"1990-07-05","DCC2","KOBMYO","Kobresia myosuroides",76,47.7987
"1990-07-05","DCC2","MINOBT","Minuartia obtusiloba",2,1.2579
"1990-07-05","DCC2","OREALP","Oreoxis alpina ssp. alpina",18,11.3208
"1990-07-05","DCC2","BAREEE",NaN,18,11.3208
"1990-07-05","DCC2","SELDEN","Selaginella densa var. scopulorum",1,0.6289
"1990-07-05","DCC2","CERARV","Cerastium arvense ssp. strictum",1,0
"1990-07-09","WCC2","ACOROS","Geum rossii var. turbinatum",3,1.8405
"1990-07-09","WCC2","ARTSCO","Artemisia scopulorum",4,2.454
"1990-07-09","WCC2","BISBIS","Polygonum bistortoides",4,2.454
"1990-07-09","WCC2","CARSCO","Carex scopulorum var. scopulorum",75,46.0123
"1990-07-09","WCC2","CARESP","Carex",9,5.5215
"1990-07-09","WCC2","DODPUL","Dodecatheon pulchellum",2,1.227
"1990-07-09","WCC2","GENALG","Gentiana algida",4,2.454
