date,plot_code,num_hits_cover,num_species,num_hits_divers,diversity_index,comments
1990-07-03,DCC1,119,12,107,1.2059,NaN
1990-07-09,WCC1,151,8,144,0.9805,NaN
1990-07-05,DCC2,159,14,142,1.5726,NaN
1990-07-09,WCC2,163,10,148,1.5201,NaN
1990-07-05,DCC3,127,15,93,1.4353,NaN
1990-07-09,WCC3,158,11,141,1.7353,NaN
1990-07-05,DCC4,148,10,123,1.4107,NaN
1990-07-09,WCC4,165,11,154,1.7821,NaN
1990-07-05,DCC5,153,19,134,1.9222,NaN
1990-07-09,WCC5,143,12,130,1.6932,NaN
1990-07-05,DNN1,134,13,123,1.2129,NaN
1990-07-09,WNN1,146,10,135,1.043,NaN
1990-07-05,DNN2,131,19,114,1.9106,NaN
1990-07-09,WNN2,172,9,159,1.8546,NaN
1990-07-05,DNN3,146,13,123,1.6223,NaN
1990-07-09,WNN3,168,11,157,1.8146,NaN
1990-07-05,DNN4,120,17,97,1.7759,NaN
1990-07-09,WNN4,152,9,142,1.6367,NaN
1990-07-05,DNN5,139,14,110,1.4548,NaN
1990-07-09,WNN5,144,15,129,1.6219,NaN
1990-07-03,DNP1,140,18,116,1.345,NaN
1990-07-09,WNP1,127,7,121,0.779,NaN
1990-07-05,DNP2,150,17,127,1.9457,NaN
1990-07-09,WNP2,142,14,136,1.4888,NaN
1990-07-05,DNP3,148,13,133,1.3782,NaN
1990-07-09,WNP3,160,15,144,1.9557,NaN
1990-07-05,DNP4,128,14,81,1.5516,NaN
1990-07-09,WNP4,157,12,143,1.9031,NaN
1990-07-05,DNP5,173,16,156,1.5492,NaN
1990-07-09,WNP5,161,12,152,1.7533,NaN
1990-07-05,DPP1,124,15,102,1.359,NaN
1990-07-09,WPP1,147,11,133,1.3926,NaN
1990-07-05,DPP2,141,15,125,1.5842,NaN
1990-07-09,WPP2,165,13,154,2.0373,NaN
1990-07-05,DPP3,139,13,107,1.6702,NaN
1990-07-09,WPP3,150,11,132,1.9598,NaN
1990-07-05,DPP4,136,15,105,1.7415,NaN
1990-07-09,WPP4,163,12,152,1.7835,NaN
1990-07-05,DPP5,152,14,136,1.4505,NaN
1990-07-09,WPP5,142,11,121,1.3281,NaN
1991-07-02,DCC1,139,17,116,1.6551,NaN
1991-07-31,WCC1,109,14,107,1.8315,NaN
1991-07-09,DCC2,202,18,198,2.0564,NaN
1991-07-31,WCC2,213,11,212,1.6472,NaN
1991-07-10,DCC3,155,20,131,1.7784,NaN
1991-08-01,WCC3,218,16,217,1.9633,NaN
1991-07-12,DCC4,167,17,152,2.0352,NaN
1991-08-02,WCC4,207,16,206,2.0372,NaN
1991-07-14,DCC5,178,21,171,2.1916,NaN
1991-08-02,WCC5,181,15,183,1.9199,NaN
1991-07-09,DNN1,216,19,214,1.9917,NaN
1991-07-31,WNN1,196,13,199,1.6226,NaN
1991-07-10,DNN2,214,21,209,2.21,NaN
1991-08-06,WNN2,243,12,242,1.9492,NaN
1991-07-10,DNN3,178,18,172,1.6976,NaN
1991-08-02,WNN3,222,16,224,2.0314,NaN
1991-07-14,DNN4,190,23,175,2.1718,NaN
1991-08-02,WNN4,232,15,231,1.9813,NaN
1991-07-16,DNN5,167,19,160,1.8006,NaN
1991-08-07,WNN5,191,13,190,1.7454,NaN
1991-07-02,DNP1,182,22,177,2.2748,NaN
1991-07-31,WNP1,133,12,134,1.5253,NaN
1991-07-09,DNP2,252,25,251,2.4331,NaN
1991-07-31,WNP2,187,18,188,1.8582,NaN
1991-07-10,DNP3,229,24,229,2.215,NaN
1991-08-06,WNP3,246,17,247,2.0913,NaN
1991-07-12,DNP4,258,24,235,2.5878,NaN
1991-08-06,WNP4,272,16,274,2.1729,NaN
1991-07-16,DNP5,201,28,191,2.5163,NaN
1991-08-06,WNP5,207,14,209,1.9722,NaN
1991-07-08,DPP1,159,17,145,1.5783,NaN
1991-08-01,WPP1,195,19,196,1.7039,NaN
1991-07-09,DPP2,178,21,173,2.04,NaN
1991-08-01,WPP2,289,19,290,2.2903,NaN
1991-07-12,DPP3,159,19,145,2.0406,NaN
1991-08-02,WPP3,240,18,246,2.1174,NaN
1991-07-14,DPP4,213,23,197,2.2778,NaN
1991-08-02,WPP4,218,14,218,2.0295,NaN
1991-07-16,DPP5,164,19,158,1.9076,NaN
1991-08-07,WPP5,178,16,175,1.7344,NaN
1992-07-09,DCC1,166,21,156,1.7129,NaN
1992-07-28,WCC1,150,11,149,1.3213, a lot of Caltha seedlings
1992-07-10,DCC2,194,21,190,2.0699,NaN
1992-07-28,WCC2,215,15,216,1.7819,NaN
1992-07-13,DCC3,156,23,142,2.0259,NaN
1992-07-28,WCC3,199,16,200,1.8551,NaN
1992-07-14,DCC4,166,23,164,2.057,NaN
1992-07-29,WCC4,223,16,222,1.8474,NaN
1992-07-14,DCC5,217,29,214,2.3136,NaN
1992-07-29,WCC5,173,12,173,1.4886,NaN
1992-07-10,DNN1,202,24,202,2.2057, Trifolium didn't look as good as in DPP1; Poa arctica not as far along as in DNP1 plot; Mertensia senescing
1992-07-28,WNN1,147,13,147,1.5714,NaN
1992-07-10,DNN2,233,28,237,2.3912, Carex rupestris large & healthy
1992-08-03,WNN2,200,15,201,1.7284,NaN
1992-07-13,DNN3,188,27,196,2.1438,NaN
1992-08-03,WNN3,236,14,238,1.6661,NaN
1992-07-14,DNN4,240,26,239,2.384,NaN
1992-08-03,WNN4,275,16,277,1.9699,NaN
1992-07-14,DNN5,257,25,253,2.1456,NaN
1992-08-03,WNN5,210,17,209,1.828,NaN
1992-07-09,DNP1,245,31,244,2.5276, grazed
1992-07-28,WNP1,176,10,177,1.2168, a lot of moss
1992-07-10,DNP2,296,34,296,2.8436, Sedum big & healthy; Saxifraga leaves huge; no Androsace flowers or fruits - outshaded?; grazed
1992-07-28,WNP2,147,13,149,1.3655, herbivory
1992-07-13,DNP3,300,27,302,2.5333, a lot of Androsace
1992-08-03,WNP3,198,16,196,1.758, grazed by elk?; gopher mound in middle
1992-07-14,DNP4,321,31,319,2.6843,NaN
1992-08-03,WNP4,286,16,287,2.0239, gopher mound
1992-07-14,DNP5,359,35,356,2.7738,NaN
1992-08-03,WNP5,219,15,221,1.8468, Caltha in flower
1992-07-10,DPP1,140,27,131,2.1573, bistorts had burned leaf tips; non-mycorrhizal Sedum doing well; Mertensia senescing; many new little red buds of Sedum emerging throughout plot; Carex rupestris stunted? and appeared to be dying out; Acomastylis flowers senescing
1992-07-28,WPP1,194,17,196,1.8675, herbivory
1992-07-10,DPP2,180,26,176,2.3032, burning of bistort leaves; Sedum healthy; some grazing
1992-07-28,WPP2,260,18,261,2.2328,NaN
1992-07-13,DPP3,186,23,181,2.2122, juicy Sedum; new little Sedum seedlings; burned bistorts and Kobresia
1992-07-28,WPP3,263,19,265,2.0826,NaN
1992-07-14,DPP4,189,29,190,2.473,NaN
1992-07-28,WPP4,256,16,257,2.0988,NaN
1992-07-14,DPP5,203,24,200,2.1516,NaN
1992-08-03,WPP5,195,24,197,2.0173,NaN
1993-07-19,DCC1,147,26,140,1.9662,NaN
1993-07-23,WCC1,148,11,145,1.3447,NaN
1993-07-22,DCC2,185,28,182,2.248,NaN
1993-07-27,WCC2,190,14,190,1.6251,NaN
1993-07-22,DCC3,161,27,148,2.0581,NaN
1993-07-27,WCC3,165,18,162,2.2096,NaN
1993-07-22,DCC4,164,25,157,2.1485,NaN
1993-07-27,WCC4,183,14,182,1.9708,NaN
1993-07-23,DCC5,161,23,148,2.2672,NaN
1993-07-26,WCC5,169,13,169,1.7608,NaN
1993-07-18,DNN1,192,26,188,2.285,NaN
1993-07-27,WNN1,148,13,148,1.2931,NaN
1993-07-22,DNN2,238,31,234,2.5222, many Poa arctica seedlings
