year,spp_code,plot_num,quad_num,coords,plant_num,max_leaf_length,init_pollen,init_seed_disp,init_color_chg,tot_color_chg
1984,ACOROS,1,2,09-05,1,48,NaN,NaN,NaN,NaN
1984,ACOROS,2,1,05-03,1,35,NaN,NaN,NaN,NaN
1984,ACOROS,3,1,09-02,1,120,198,238,233,NaN
1984,ACOROS,9,1,01-05,1,46,NaN,NaN,246,NaN
1984,ACOROS,10,1,05-06,1,119,191,226,233,246
1984,ACOROS,11,1,06-02,1,115,NaN,NaN,NaN,NaN
1984,ACOROS,12,1,05-03,1,63,NaN,NaN,NaN,NaN
1984,ACOROS,14,1,06-04,1,160,198,226,238,246
1984,ACOROS,16,1,05-08,1,59,NaN,NaN,NaN,NaN
1984,ACOROS,19,1,03-05,1,50,NaN,NaN,233,NaN
1984,ACOROS,24,1,06-03,1,95,NaN,NaN,NaN,NaN
1984,ACOROS,32,1,04-08,1,60,NaN,NaN,NaN,NaN
1984,ACOROS,82,1,03-01,1,80,198,227,233,246
1984,ACOROS,1,3,07-06,2,58,170,218,NaN,NaN
1984,ACOROS,2,2,06-02,2,80,191,226,NaN,NaN
1984,ACOROS,3,2,02-06,2,85,NaN,218,233,NaN
1984,ACOROS,9,2,02-04,2,44,226,246,246,NaN
1984,ACOROS,10,2,08-05,2,129,191,226,NaN,246
1984,ACOROS,11,2,08-03,2,103,NaN,218,NaN,NaN
1984,ACOROS,12,2,05-03,2,61,178,218,NaN,NaN
1984,ACOROS,14,2,07-01,2,170,205,246,NaN,246
1984,ACOROS,16,2,04-07,2,48,233,NaN,NaN,NaN
1984,ACOROS,19,1,04-05,2,52,NaN,NaN,233,NaN
1984,ACOROS,24,2,03-06,2,120,NaN,NaN,238,NaN
1984,ACOROS,32,2,05-09,2,56,NaN,NaN,NaN,NaN
1984,ACOROS,82,2,02-08,2,94,NaN,227,233,246
1984,ACOROS,1,5,02-02,3,58,170,212,NaN,NaN
